INSTNM,NPT4_PUB,NPT4_PRIV,MD_EARN_WNE_P10,MD_EARN_WNE_P8,MD_EARN_WNE_P6
Argosy University-San Francisco Bay Area,NULL,NULL,37000,37200,32500
Rosemead Beauty School,NULL,4874,10100,11000,12700
Dongguk University-Los Angeles,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Rudolf Steiner College,NULL,NULL,NULL,NULL,NULL
Sacramento City College,6309,NULL,31800,28300,21800
Saddleback College,9213,NULL,33700,30100,24600
Samuel Merritt University,NULL,NULL,108000,101000,93000
San Diego City College,5596,NULL,26600,25100,20700
Golf Academy of America-Carlsbad,NULL,26513,25300,22000,20100
San Diego Mesa College,6265,NULL,34400,31200,26200
San Diego Miramar College,6449,NULL,36000,32900,26500
San Diego State University,12567,NULL,47400,43000,35200
University of San Diego,NULL,30191,56900,52600,44900
San Francisco Art Institute,NULL,38754,27800,25000,23000
San Francisco Conservatory of Music,NULL,45052,PrivacySuppressed,21800,PrivacySuppressed
San Francisco State University,11658,NULL,47200,40300,34300
San Francisco Theological Seminary,NULL,NULL,NULL,NULL,NULL
University of San Francisco,NULL,30154,60300,52900,46400
San Joaquin College of Law,NULL,NULL,NULL,NULL,NULL
San Joaquin Delta College,8994,NULL,29300,25700,20700
San Joaquin Valley College-Visalia,NULL,17835,26300,25100,23600
William Jessup University,NULL,20833,38600,31500,33100
San Jose City College,9608,NULL,28000,25900,22000
San Jose State University,12862,NULL,53700,46400,39000
College of San Mateo,2177,NULL,37000,32700,27600
Santa Barbara Business College-Bakersfield,NULL,14614,22000,23200,22100
Westwood College-Los Angeles,NULL,26724,29700,25100,22200
Santa Barbara Business College-Santa Maria,NULL,14929,26900,25700,22200
Santa Barbara City College,9804,NULL,34300,31200,26300
Santa Clara University,NULL,34556,67600,59800,50900
Santa Monica College,6040,NULL,31700,27100,22600
Santa Rosa Junior College,6171,NULL,34800,30000,26200
Saybrook University,NULL,NULL,NULL,NULL,NULL
Scripps College,NULL,28736,47800,40000,33200
Wyotech-Fremont,NULL,19544,39100,36400,31500
College of the Sequoias,417,NULL,25700,22600,20800
Shasta Bible College and Graduate School,NULL,14847,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Shasta College,4831,NULL,25200,23800,20300
Sierra College,8062,NULL,28100,26600,22300
Sierra College of Beauty,NULL,3198,10800,12100,10800
Sierra Valley College of Court Reporting,NULL,20804,31800,23300,16500
Trinity Law School,NULL,NULL,38100,35300,30400
Simpson University,NULL,18092,33600,28400,26500
College of the Siskiyous,8160,NULL,26200,20900,18700
Charles A Jones Career and Education Center,2397,NULL,24400,25600,22400
Skyline College,3604,NULL,38700,34500,30000
San Bernardino Valley College,6518,NULL,26600,23100,19600
Saint Mary's College of California,NULL,32605,58400,47300,40300
Solano Community College,7213,NULL,33100,29300,23600
Sonoma State University,15913,NULL,44400,41400,34100
Pinnacle College,NULL,20017,31000,PrivacySuppressed,20300
South Baylo University,NULL,NULL,23900,24600,PrivacySuppressed
South Coast College,NULL,21265,33300,31700,27200
Vanguard University of Southern California,NULL,23952,37700,36100,31200
Concorde Career College-Garden Grove,NULL,22082,36600,37500,39500
Southwestern College,4535,NULL,31200,25900,21900
Starr King School for the Ministry,NULL,NULL,NULL,NULL,NULL
Marshall B Ketchum University,NULL,NULL,80700,76200,74400
Southern California Institute of Architecture,NULL,46509,46500,43400,35100
University of Southern California,NULL,28344,67700,62700,53700
Southwestern Law School,NULL,NULL,81000,79800,70700
Taft College,6586,NULL,30600,28800,21200
Claremont School of Theology,NULL,NULL,NULL,NULL,NULL
Thomas Aquinas College,NULL,20460,30200,30100,25300
Marinello Schools of Beauty-Lake Forest,NULL,13237,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Epic Bible College,NULL,21581,28900,29000,18400
United Education Institute-Huntington Park Campus,NULL,20031,24500,22700,20200
Concorde Career College-San Bernardino,NULL,20729,26800,26700,25100
Universal College of Beauty Inc-Los Angeles 1,NULL,14021,14700,13400,13100
Concorde Career College-North Hollywood,NULL,21316,39900,35600,31700
Ventura College,2841,NULL,31300,29600,25500
Victor Valley Beauty College Inc,NULL,12083,13200,13400,10800
Victor Valley College,7349,NULL,24900,22900,19100
Berkeley City College,8422,NULL,29400,26500,20300
Walden University,NULL,27851,59700,50200,48800
Waynes College of Beauty,NULL,6787,NULL,NULL,NULL
West Hills College-Coalinga,6478,NULL,26800,24700,20500
West Los Angeles College,6659,NULL,28400,27100,24600
West Valley College,10018,NULL,32400,32200,22200
Carrington College-Sacramento,NULL,17911,29600,28100,24100
Westminster Theological Seminary in California,NULL,NULL,NULL,NULL,NULL
Westmont College,NULL,30370,46800,39400,29900
Whittier College,NULL,32984,44000,38600,31100
Woodbury University,NULL,24268,46000,39600,31700
The Wright Institute,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Western State College of Law at Argosy University,NULL,NULL,37000,37200,32500
Thomas Jefferson School of Law,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,NULL,5309,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Yuba College,5345,NULL,26900,24000,19200
The Salon Professional Academy-Grand Junction,NULL,10884,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Adams State University,15868,NULL,32800,30800,24700
Aims Community College,9486,NULL,31400,30200,27400
Arapahoe Community College,9238,NULL,35600,34000,31100
Bel-Rea Institute of Animal Technology,NULL,20440,30400,27100,26100
Everest College-Colorado Springs,NULL,19319,24400,21700,19600
University of Colorado Denver/Anschutz Medical Campus,13774,NULL,57400,50600,41500
University of Colorado Colorado Springs,15151,NULL,40600,36300,31600
Redstone College,NULL,19917,43300,42200,41100
University of Colorado Boulder,21792,NULL,47700,41200,34600
Colorado Christian University,NULL,23698,36900,36100,28900
Colorado College,NULL,27434,39700,34300,28600
Concorde Career College-Aurora,NULL,21502,28700,26800,28600
The Art Institute of Colorado,NULL,25734,32200,27900,24600
Colorado Mountain College,9753,NULL,28400,28000,24700
Colorado Northwestern Community College,10603,NULL,34700,33900,29800
Colorado School of Mines,25777,NULL,75700,74600,63700
Colorado School of Trades,NULL,16410,35400,31500,28000
Colorado State University-Fort Collins,16526,NULL,44500,39200,33200
Colorado Technical University-Colorado Springs,NULL,18920,50100,38200,28800
Empire Beauty School-Lakewood,NULL,13231,22400,17600,16100
Community College of Aurora,13531,NULL,32800,28800,27500
CollegeAmerica-Denver,NULL,24416,25600,23200,19200
Delta Montrose Technical College,9975,NULL,27000,30000,31900
Prince Institute-Rocky Mountains,NULL,NULL,33400,29600,30000
Community College of Denver,8303,NULL,28900,26600,24200
Lincoln College of Technology-Denver,NULL,20187,36400,33600,28100
Denver Seminary,NULL,NULL,NULL,NULL,NULL
Westwood College-Denver North,NULL,22313,34700,31100,26300
University of Denver,NULL,29771,51700,47400,43700
Emily Griffith Technical College,5394,NULL,23700,23300,19300
Fort Lewis College,15254,NULL,34000,30100,25800
Front Range Community College,10030,NULL,34100,30800,27700
Glenwood Beauty Academy,NULL,14608,16800,21100,PrivacySuppressed
Hair Dynamics Education Center,NULL,12732,18000,18000,16700
Iliff School of Theology,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
International Salon and Spa Academy,NULL,14518,16200,17100,15200
Lamar Community College,10716,NULL,26500,25200,23200
Colorado Mesa University,15874,NULL,34600,31500,28200
Metropolitan State University of Denver,10378,NULL,38400,34700,31200
Morgan Community College,9160,NULL,28000,25400,26900
Naropa University,NULL,26505,23600,19000,15000
National American University-Colorado Springs,NULL,15187,36100,31100,27100
National American University-Denver,NULL,13989,36100,31100,27100
Nazarene Bible College,NULL,17087,30700,30600,27700
Northeastern Junior College,11557,NULL,31800,28800,25500
University of Northern Colorado,16852,NULL,39000,35600,31700
Otero Junior College,10394,NULL,28100,22600,23300
Everest College-Thornton,NULL,20532,26000,24600,20200
Pikes Peak Community College,10197,NULL,29800,27200,24700
IBMC College,NULL,15596,25000,21400,22600
Pueblo Community College,8951,NULL,27000,24600,22600
Red Rocks Community College,9225,NULL,33800,31900,28400
Regis University,NULL,23564,50500,51200,46800
Rocky Mountain College of Art and Design,NULL,31129,28300,27600,22700
Montessori Education Center of the Rockies,NULL,12635,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Colorado State University-Pueblo,12973,NULL,35500,33200,29900
Pickens Technical College,7153,NULL,25100,26300,22600
Intellitec College-Colorado Springs,NULL,16386,31800,29000,25200
Intellitec College-Grand Junction,NULL,13429,20500,17700,19700
Trinidad State Junior College,10072,NULL,24900,22600,21300
Empire Beauty School-Thornton,NULL,13720,20400,20100,19600
Western State Colorado University,14352,NULL,35900,30700,25700
Albertus Magnus College,NULL,22893,52100,46200,42400
Paul Mitchell the School-Danbury,NULL,18945,19000,21800,23600
Asnuntuck Community College,7466,NULL,30900,27700,21200
Branford Hall Career Institute-Branford Campus,NULL,27039,27900,25800,23600
Lincoln College of New England-Southington,NULL,26484,31800,30300,26700
Bridgeport Hospital School of Nursing,NULL,25247,70000,69800,66600
University of Bridgeport,NULL,22626,42700,36500,31800
Central Connecticut State University,15643,NULL,44300,40800,35400
Charter Oak State College,NULL,NULL,39200,37300,42300
Connecticut Center for Massage Therapy-Newington,NULL,22261,29300,30700,27900
Connecticut College,NULL,27345,51700,44400,36500
Marinello Schools of Beauty-East Hartford,NULL,17636,19000,15100,18100
Porter and Chester Institute of Branford,NULL,24124,37500,29900,32600
University of Connecticut,20337,NULL,54000,49800,42400
Goodwin College,NULL,21948,27500,34600,32400
Lincoln Technical Institute-East Windsor,NULL,15988,41200,36900,33900
Eastern Connecticut State University,18450,NULL,43400,39000,33400
Fairfield University,NULL,36935,68500,60600,51500
Paul Mitchell the School-North Haven,NULL,17850,22900,25900,22900
Capital Community College,8786,NULL,32700,28900,24500
Rensselaer Hartford Graduate Center Inc,NULL,NULL,79600,69900,61400
American Institute-West Hartford,NULL,14295,25700,23400,20200
Hartford Seminary,NULL,NULL,NULL,NULL,NULL
University of Hartford,NULL,27156,46100,39800,33800
Holy Apostles College and Seminary,NULL,NULL,NULL,NULL,NULL
Housatonic Community College,5104,NULL,29900,27600,23700
Lyme Academy College of Fine Arts,NULL,28097,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Manchester Community College,3859,NULL,33200,29200,25800
Naugatuck Valley Community College,6802,NULL,34100,30700,26000
Middlesex Community College,4346,NULL,30000,31300,24900
Mitchell College,NULL,26936,30400,27600,23500
Three Rivers Community College,4044,NULL,31100,28700,25800
Lincoln Technical Institute-New Britain,NULL,18944,41200,36900,33900
New England Tractor Trailer Training School of Connecticut,NULL,9820,37400,36900,32600
University of New Haven,NULL,30225,48300,44100,36700
Ridley-Lowell Business & Technical Institute-New London,NULL,20882,25200,20400,20900
Norwalk Community College,7801,NULL,31400,29400,25800
Northwestern Connecticut Community College,6053,NULL,24600,29800,23500
Paier College of Art Inc,NULL,14584,25200,26500,25400
Marinello Schools of Beauty-Meriden,NULL,16140,18500,19700,19200
Porter and Chester Institute of Stratford,NULL,23754,36500,34900,30800
Post University,NULL,31106,36800,37800,32300
Quinebaug Valley Community College,5923,NULL,26800,21300,22800
Quinnipiac University,NULL,35566,57700,55100,46100
Sacred Heart University,NULL,36796,53900,48500,43100
University of Saint Joseph,NULL,24792,49500,44300,39500
Gateway Community College,6579,NULL,30200,28700,25400
St Vincent's College,NULL,17236,61800,56700,53000
Southern Connecticut State University,14741,NULL,40700,38200,33600
Stone Academy-Hamden,NULL,15916,22400,18600,21200
Tri-State College of Acupuncture,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Trinity College,NULL,29514,54700,50100,46400
Tunxis Community College,7370,NULL,32500,31700,25600
Wesleyan University,NULL,30052,48400,41200,35100
Western Connecticut State University,17269,NULL,43400,38400,32900
Yale-New Haven Hospital Dietetic Internship,NULL,NULL,NULL,NULL,NULL
Yale University,NULL,20168,74200,70900,60100
Margaret H Rollins School of Nursing at Beebe Medical Center,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Dawn Career Institute Inc,NULL,19460,22400,23500,19700
Delaware Technical Community College-Owens,7007,NULL,28800,27200,24800
Delaware Technical Community College-Terry,7426,NULL,30700,29200,24300
Delaware Technical Community College-Stanton/Wilmington,7575,NULL,34000,32000,27600
Delaware State University,15655,NULL,33600,30800,25900
University of Delaware,16178,NULL,54900,49000,42100
Goldey-Beacom College,NULL,19000,40000,35500,32100
Schilling-Douglas School of Hair Design LLC,NULL,16249,22500,20800,17300
Wesley College,NULL,20473,41600,37700,31600
Wilmington University,NULL,15015,42000,39600,35000
American University,NULL,36074,55900,50400,43100
Catholic University of America,NULL,34770,53900,48900,44200
University of the District of Columbia,16313,NULL,34800,31100,24600
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,NULL,NULL,NULL,NULL,NULL
Gallaudet University,NULL,14203,26000,28000,21400
George Washington University,NULL,30057,65400,59600,49500
Georgetown University,NULL,27506,84000,77100,64300
Howard University,NULL,23191,46000,41800,35000
Medtech Institute,NULL,18902,26300,25300,22700
Strayer University-District of Columbia,NULL,30182,49200,43300,36500
National Conservatory of Dramatic Arts,NULL,10653,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Trinity Washington University,NULL,14881,40700,33100,27700
Wesley Theological Seminary,NULL,NULL,NULL,NULL,NULL
Wyotech-Daytona,NULL,29679,31800,32400,29600
The Art Institute of Fort Lauderdale,NULL,23114,28800,26300,24800
Atlantic Technical College,9617,NULL,31900,27800,24000
The Baptist College of Florida,NULL,11195,30800,26300,23700
Barry University,NULL,23985,44100,40900,38800
Gooding Institute of Nurse Anesthesia,NULL,NULL,NULL,NULL,NULL
Bethune-Cookman University,NULL,16447,29400,24000,21500
Lynn University,NULL,35396,37700,34000,31100
GUTI The Premier Beauty & Wellness Academy,NULL,11449,16000,14900,18000
Bradford-Union Technical Center,NULL,NULL,PrivacySuppressed,15100,19800
Eastern Florida State College,6787,NULL,28100,25500,23100
Broward College,11193,NULL,32900,29500,25500
Fortis College-Winter Park,NULL,NULL,21200,19100,18100
Carlos Albizu University-Miami,NULL,25030,29100,28500,26500
College of Central Florida,9267,NULL,29900,27100,23500
Johnson University Florida,NULL,15120,26300,26600,24300
University of Central Florida,13724,NULL,42900,39200,34100
Charlotte Technical Center,11603,NULL,22600,25500,24500
Chipola College,3392,NULL,28700,25900,22900
Clearwater Christian College,NULL,18051,36900,32500,27000
Lorenzo Walker Technical College,9783,NULL,31700,25700,26400
Daytona State College,5234,NULL,27600,24600,21900
